"Title","avocadokernbench"
"Value","Series Label","Build Number","Build Date","URL"
"28.01843750000000000000","sos-dsldbg-00.user","1","1528515000313",""
"3.01177083333333333333","sos-dsldbg-00.system","1","1528515000313",""
"51.54000000000000000000","sos-dsldbg-00.elapsed","1","1528515000313",""
"80.00567382812500000000","ethanolxb2abhost.user","1","1534878158398",""
"21.89439453125000000000","ethanolxb2abhost.system","1","1534878158398",""
"145.43500000000000000000","ethanolxb2abhost.elapsed","1","1534878158398",""
"75.07614746093750000000","ethanolxb2abhost.user","3","1534953725774",""
"20.00500976562500000000","ethanolxb2abhost.system","3","1534953725774",""
"128.06312500000000000000","ethanolxb2abhost.elapsed","3","1534953725774",""
"72.55355224609375000000","ethanolxb2abhost.user","4","1534959761016",""
"19.10705566406250000000","ethanolxb2abhost.system","4","1534959761016",""
"119.44218750000000000000","ethanolxb2abhost.elapsed","4","1534959761016",""
"71.45755737304687500000","ethanolxb2abhost.user","5","1534968216342",""
"18.58543212890625000000","ethanolxb2abhost.system","5","1534968216342",""
"115.25234375000000000000","ethanolxb2abhost.elapsed","5","1534968216342",""
"70.41654235839843750000","ethanolxb2abhost.user","6","1535045699053",""
"18.02572387695312500000","ethanolxb2abhost.system","6","1535045699053",""
"112.30492187500000000000","ethanolxb2abhost.elapsed","6","1535045699053",""
"70.10233367919921875000","ethanolxb2abhost.user","7","1535052844337",""
"17.86007873535156250000","ethanolxb2abhost.system","7","1535052844337",""
"111.06683593750000000000","ethanolxb2abhost.elapsed","7","1535052844337",""
"69.98722152709960937500","ethanolxb2abhost.user","8","1535126021860",""
"17.72755889892578125000","ethanolxb2abhost.system","8","1535126021860",""
"110.39404296875000000000","ethanolxb2abhost.elapsed","8","1535126021860",""
"70.37268302917480468750","ethanolxb2abhost.user","9","1535132072070",""
"18.03959976196289062500","ethanolxb2abhost.system","9","1535132072070",""
"110.93139648437500000000","ethanolxb2abhost.elapsed","9","1535132072070",""
"70.30817745208740234375","ethanolxb2abhost.user","11","1535304392435",""
"18.06083503723144531250","ethanolxb2abhost.system","11","1535304392435",""
"110.78444824218750000000","ethanolxb2abhost.elapsed","11","1535304392435",""
