"Title","avocadodbench"
"Value","Series Label","Build Number","Build Date","URL"
"9426.52500000000000000000","diesel8a87host","1","1526310061803",""
"4703.75430549937014538017","diesel8a87host","1","1534869653842",""
"681.47315537492126817252","diesel8a87host","1","1534945820038",""
"73.82953125000000000000","diesel8a87host","1","1534950901877",""
"6932.84085937500000000000","diesel8a87host","1","1534972873162",""
"9240.04521484375000000000","diesel8a87host","1","1534976292981",""
"9613.23260742187500000000","diesel8a87host","1","1534977490111",""
"10158.86630371093750000000","diesel8a87host","2","1535017860093",""
"10408.13315185546875000000","diesel8a87host","3","1535031563969",""
"9955.17157592773437500000","diesel8a87host","4","1535104260092",""
"10347.58578796386718750000","diesel8a87host","5","1535190660091",""
"10406.94289398193359375000","diesel8a87host","6","1535277060091",""
"10074.62144699096679687500","diesel8a87host","7","1535363460093",""
