"Title","perfbench"
"Value","Series Label","Build Number","Build Date","URL"
".00297665000000000000","diesel79d4host","1","1519925521984",""
"63.119","diesel79d4host","1","1519926072562",""
"59.826","diesel79d4host","1","1519926332597",""
"3.01630000000000000000","diesel79d4host","1","1519928419248",""
"2.94629000000000000000","diesel79d4host","1","1519929379109",""
"3.16157375000000000000","diesel79d4host","1","1520038695453",""
"3.16786187500000000000","diesel79d4host","2","1520042045498",""
"3.15269093750000000000","diesel79d4host","3","1520043408811",""
"3.14675546875000000000","diesel79d4host","4","1520045749927",""
"3.09388773437500000000","diesel79d4host","5","1520049300999",""
"3.06202386718750000000","diesel79d4host","6","1520052900996",""
"3.03067193359375000000","diesel79d4host","7","1520056500996",""
"2.98472096679687500000","diesel79d4host","8","1520060100997",""
"2.97293548339843750000","diesel79d4host","9","1520063700996",""
"3.04798274169921875000","diesel79d4host","10","1520067300997",""
"3.10161637084960937500","diesel79d4host","11","1520070901000",""
"3.12499318542480468750","diesel79d4host","12","1520074500996",""
"3.15267659271240234375","diesel79d4host","13","1520078100996",""
"3.04485829635620117187","diesel79d4host","14","1520081700998",""
"2.97515414817810058593","diesel79d4host","15","1520085300996",""
"3.03749707408905029296","diesel79d4host","16","1520088900996",""
"3.07858853704452514648","diesel79d4host","17","1520092500996",""
"3.03235426852226257324","diesel79d4host","18","1520096100996",""
"3.04184213426113128662","diesel79d4host","19","1520099700996",""
"3.06842106713056564331","diesel79d4host","20","1520103300996",""
"3.12392553356528282165","diesel79d4host","21","1520106900997",""
"3.05606276678264141082","diesel79d4host","22","1520110500995",""
"3.05822638339132070541","diesel79d4host","23","1520114341009",""
"3.01237819169566035270","diesel79d4host","24","1520117700996",""
"2.97388497533453311092","diesel79d4host","44","1520171541998",""
"3.03848748766726655546","diesel79d4host","45","1520171854864",""
"2.94692374383363327773","diesel79d4host","47","1520174859057",""
"2.90343187191681663886","diesel79d4host","48","1520175300995",""
"2.89812093595840831943","diesel79d4host","49","1520175798479",""
"2.92152546797920415971","diesel79d4host","50","1520176185404",""
"2.90522773398960207985","diesel79d4host","51","1520177920440",""
"2.81941386699480103992","diesel79d4host","52","1520178900998",""
"2.84959693349740051996","diesel79d4host","53","1520182500995",""
"2.83526346674870025998","diesel79d4host","54","1520186100995",""
"2.85027673337435012999","diesel79d4host","55","1520189700997",""
"2.77968336668717506499","diesel79d4host","56","1520193300996",""
"2.86581168334358753249","diesel79d4host","57","1520197321828",""
"2.88898084167179376624","diesel79d4host","58","1520200500995",""
"2.98145542083589688312","diesel79d4host","59","1520204109357",""
"2.94109771041794844156","diesel79d4host","60","1520212085983",""
"2.89795885520897422078","diesel79d4host","61","1520214978176",""
"2.82267942760448711039","diesel79d4host","62","1520218500995",""
"2.95045985690112177759","diesel79d4host","64","1520225779378",""
"3.01308492845056088879","diesel79d4host","65","1520229386880",""
"2.93587746422528044439","diesel79d4host","66","1520232989325",""
"2.93365373211264022219","diesel79d4host","67","1520236578758",""
"2.86166186605632011109","diesel79d4host","68","1520240174189",""
"2.95545796651408002777","diesel79d4host","70","1520247382959",""
"2.93810199162852000694","diesel79d4host","72","1520254586657",""
"2.93376099581426000347","diesel79d4host","73","1520259005319",""
"2.98104637447678250043","diesel79d4host","76","1520268975265",""
"3.02243318723839125021","diesel79d4host","77","1520272577453",""
"3.03540659361919562510","diesel79d4host","78","1520276191082",""
"7.37339566070057713948","diesel79d4host","147","1520445056593",""
"24.76423576203173346755","leseidlb950","147","1520445056593",""
"7.34697615066278856974","diesel79d4host","148","1520445163674",""
"24.59574092789086673377","leseidlb950","148","1520445163674",""
"7.18752616126889428487","diesel79d4host","149","1520445267964",""
"24.66127378425793336688","leseidlb950","149","1520445267964",""
"7.40430995563444714243","diesel79d4host","150","1520445373445",""
"24.70990935306646668344","leseidlb950","150","1520445373445",""
"7.37537275125472357121","diesel79d4host","151","1520445519853",""
"24.64352889528323334172","leseidlb950","151","1520445519853",""
"7.37567465687736178560","diesel79d4host","152","1520445625745",""
"24.47435233826661667086","leseidlb950","152","1520445625745",""
"7.34433146906368089280","diesel79d4host","153","1520445847659",""
"25.62926601288330833543","leseidlb950","153","1520445847659",""
"7.21623311734434044640","diesel79d4host","154","1520445961211",""
"25.23260175644165416771","leseidlb950","154","1520445961211",""
"7.24044077742217022320","diesel79d4host","155","1520446067893",""
"24.80636435478332708385","leseidlb950","155","1520446067893",""
"7.24119206839858511160","diesel79d4host","156","1520446702302",""
"25.08360209926666354192","leseidlb950","156","1520446702302",""
"7.37792025294929255580","diesel79d4host","157","1520446810143",""
"24.76274831525833177096","leseidlb950","157","1520446810143",""
"7.28307633741214627790","diesel79d4host","158","1520447654462",""
"24.67861536856666588548","leseidlb950","158","1520447654462",""
"7.32012703589357313895","diesel79d4host","159","1520447759202",""
"24.41132916865833294274","leseidlb950","159","1520447759202",""
"7.25491215075928656947","diesel79d4host","160","1520448900995",""
"24.04038138120416647137","leseidlb950","160","1520448900995",""
"7.29994142694214328473","diesel79d4host","161","1520449091138",""
"24.54387233122708323568","leseidlb950","161","1520449091138",""
"7.13117188534607164236","diesel79d4host","162","1520449198269",""
"24.85457776717604161784","leseidlb950","162","1520449198269",""
"7.11905273954803582118","diesel79d4host","163","1520453434121",""
"25.43009650077552080892","leseidlb950","163","1520453434121",""
"7.28694336196151791059","diesel79d4host","164","1520456372535",""
"24.80318301601276040446","leseidlb950","164","1520456372535",""
"7.24369140754325895529","diesel79d4host","165","1520459700337",""
"24.63730928144388020223","leseidlb950","165","1520459700337",""
