"Title","avocadoperfbench"
"Value","Series Label","Build Number","Build Date","URL"
"2.11154376471863906772","diesel8a87host","1","1525723771156",""
"2.77806558664239860706","diesel8a87host","1","1534871487974",""
"3.15376562500000000000","diesel8a87host","1","1534952503371",""
"3.19751953125000000000","diesel8a87host","2","1534953189246",""
"3.18804101562500000000","diesel8a87host","3","1535025660093",""
"2.62991894531250000000","diesel8a87host","4","1535112060096",""
"2.69758447265625000000","diesel8a87host","5","1535198460094",""
"2.92852270507812500000","diesel8a87host","6","1535284860094",""
"2.88958557128906250000","diesel8a87host","7","1535371260093",""
