"Title","avocadodbench"
"Value","Series Label","Build Number","Build Date","URL"
"1654.37187500000000000000","ethanolxb2abhost","1","1534869681853",""
"1658.27234375000000000000","ethanolxb2abhost","1","1534876914829",""
"5387.23878662109375000000","ethanolxb2abhost","1","1535051597814",""
"6021.43439331054687500000","ethanolxb2abhost","2","1535124773022",""
"6325.91719665527343750000","ethanolxb2abhost","3","1535130822019",""
"6466.04859832763671875000","ethanolxb2abhost","4","1535217274718",""
"6528.68429916381835937500","ethanolxb2abhost","5","1535303622402",""
