"Title","avocadokernbench"
"Value","Series Label","Build Number","Build Date","URL"
"48.73208078525309200417","diesel8a87host.user","1","1534869835694",""
"16.58194268901317875410","diesel8a87host.system","1","1534869835694",""
"83.60336586914869352390","diesel8a87host.elapsed","1","1534869835694",""
"49.89153843950154600208","diesel8a87host.user","2","1534881240091",""
"17.26987759450658937705","diesel8a87host.system","2","1534881240091",""
"85.72105793457434676195","diesel8a87host.elapsed","2","1534881240091",""
"50.27565447365702300104","diesel8a87host.user","3","1534967640092",""
"17.13678694178454468852","diesel8a87host.system","3","1534967640092",""
"86.06615396728717338097","diesel8a87host.elapsed","3","1534967640092",""
"50.87739754932851150052","diesel8a87host.user","4","1535054040094",""
"16.13496329511102234426","diesel8a87host.system","4","1535054040094",""
"85.73182698364358669048","diesel8a87host.elapsed","4","1535054040094",""
"43.33982426294550575026","diesel8a87host.user","5","1535140440091",""
"12.91702510458676117213","diesel8a87host.system","5","1535140440091",""
"74.06028849182179334524","diesel8a87host.elapsed","5","1535140440091",""
"47.99392824475400287513","diesel8a87host.user","6","1535226840093",""
"14.22324888041838058606","diesel8a87host.system","6","1535226840093",""
"80.06139424591089667262","diesel8a87host.elapsed","6","1535226840093",""
"41.58416382940825143756","diesel8a87host.user","7","1535313240093",""
"12.16392424489669029303","diesel8a87host.system","7","1535313240093",""
"71.12913462295544833631","diesel8a87host.elapsed","7","1535313240093",""
